slang;formal
aamanah;amanah
aamiim;amin
aammaannn;aman
abak;bapak
abangg;abang
abangkuh;abangku
abiieess;habis
abisin;habis
adabya;adanya
adak;agak
adata;data
adeem;adem
adm;admin
adminn;admin
adminya;adminnya
ads;ada
aemoga;semoga
aestetik;estetik
aesuai;sesuai
affiliauntukr;afiliator
aga;agak
agaakk;agak
agankuh;agan
agian;bagian
agutus;agustus
ahamdulilah;alhamudulillah
ajieb;ajib
ajiiib;ajib
akak;kakak
akhirny;akhirnya
akhrnya;akhirnya
aktifasi;aktivasi
aktifin;mengaktifkan
akucocok;aku cocok
akuuuu;aku
alhamdulilaahhhh;alhamudulillah
alhamdulilah;alhamudulillah
alhamdulillaah;alhamudulillah
alhamlillahh;alhamdulillah
alhamsulilah;alhamdulillah
alhmdulaillah;alhamdulillah
alhmduliah;alhamdulillah
alhmdulillah;alhamdulillah
alkhamdulillah;alhamdulillah
allhamdaulilah;alhamdulillah
alumnium;aluminium
alumuniumnya;aluminiumnya
alus;halus
ama;sama
amaaaannnn;aman
amam;aman
amann;aman
amannn;aman
amman;aman
amnh;amanah
anaku;anakku
ancur;hancur
ane;saya
angen;angan
anjayy;anjay
anjj inggg;anjing
anjrottt;anjrot
antigoresnya;anti goresnya
antislip;tidak slip
apagunanya;apa gunanya
apbl;apabila
apik cik;bagus
apr;april
aqunya;akunya
asboos;penambah ASI
asibooster;penambah ASI
aslie;asli
aslii;asli
aslillllllllllllllllll;asli
assiikk;asik
audah;sudah
auk ah;tidak tahu
aweeettttt;awet
awett;awet
awettt;awet
awlooo;halo
baagusssss;bagus
baaik;baik
babang;abang
badang;barang
badayyy;badai
baeang;barang
baek;baik
bagettt;banget
baggus;bagus
bagsu;bagus
bagud;bagus
baguems;bagus
bagur;bagus
bagusbgt;bagus banget
bagush;bagus
bagusjob;bagus job
baguspp;bagus
bagusppp;bagus
baguspppp;bagus
bagusss;bagus
bagusssss;bagus
bagussssss;bagus
bagusssssss;bagus
bagussssssss;bagus
bagussssssssses;bagus
bagussssssssss;bagus
bagusssssssssssses;bagus
bagussssssssssssssssssssssssssssssssssss;bagus
baguus;bagus
baguuss;bagus
baguussss;bagus
baguuusss;bagus
baguuussss;bagus
baguuusssss;bagus
baguuuuuus;bagus
baguuuuuussssssss;bagus
baguuuuuuuuuuuus;bagus
baham;bahan
bahanjya;bahannya
bahannyaa;bahannya
bahanya;bahannya
baiik;baik
baikz;baik
bail;baik
baim;baik
bakalan;akan
balikin;kembalikan
banarang;barang
banged;banget
bangeddd;banget
banger;sangat
bangetttttttt;banget
bangettttttttt;banget
bangetttttttttt;banget
bangetz;banget
banggettr;banget
bangusss;bagus
banyaaaaak;banyak
banyakk;banyak
barabgnya;barangnya
baramg;barang
baranf;barang
barangggnya;barangnya
barangny;barangnya
barangx;barangnya
baranh;barang
bararang;barang
barasa;berasa
barokah;berkah
barsng;barang
basahin;membasahi
baso;bakso
batre;baterai
batrei;baterai
batreinya;baterainya
batrenya;baterai
battre;baterai
bauk;bau
baunyaa;baunya
bauuu;bau
bawany;bawanya
bberapa;beberapa
bdg;Bandung
beba;bebas
beberapakali;beberapa kali
bebs;bebas
beegaransai;bergaransi
befungsi;berfungsi
bekel;bekal
belaja;belanja
belibet;berbelit
belii;beli
belm;belum
belnja;belanja
beneeeeeeeer;benar
berakah;berkah
berfungs;berfungsi
berfungsu;berfungsi
berfunsgsi;berfungsi
berfunsin;berfungsi
berkalinkali;berkali kali
berkwalitas;berkualitas
bermanfa at;bermanfaat
beroka;berkah
berpungsi;berfungsi
berpunsi;berfungsi
bersihin;bersih
bertaun;bertahun
